locationID,locationName,openTime,closeTime,minPrice,maxPrice
122,Ý Linh Hotel,0.0,23.98,700,1400
173,Khách sạn Ngọc Thương,0.0,23.98,400,600
345,FLC City Hotel Beach Quy Nhon,0.0,23.98,1600,2100
350,Khách sạn Hữu Phước,0.0,23.98,300,500
357,LaCas Hotel Quy Nhơn,0.0,23.98,350,550
468,HUG COFFEE SHOP,8.0,21.0,15,50
481,Cà Phê Mận,6.0,22.0,15,50
502,Cafe Nhơn,6.5,21.0,15,50
695,CỘNG TRÀ CHANH QUY NHƠN,6.0,22.5,40,110
711,King Coffee,6.0,22.0,35,105
837,Cafe Holy,6.0,22.0,15,30
840,Born the 2021,7.0,22.0,18,30
911,Cafe Long,6.0,22.0,10,40
927,Phố Ẩm Thực Hoa Lư,17.0,23.0,200,1000
945,Bảo Tàng Tổng Hợp Bình Định,7.0,11.0,50,150
988,Bánh Cuốn Nóng,5.5,8.0,35,50
1006,Quán Cơm Chay Bồ Đề,6.0,22.0,50,200
1027,Bún Bò Gân,6.0,21.5,30,60
1028,Bún Bò Hẻm,6.0,11.0,30,60
1088,Hải Sản 7 Dũng,12.0,23.0,200,1000
1174,Quán Ăn Chín Chè,13.0,22.0,25,45
1208,Phở Cô Mười,6.0,23.0,30,60
1364,Tiệm mì quảng Cô Út,5.5,10.5,30,60
1461,Phở miến,6.0,11.0,30,60
1486,Quán trứng vịt chiên mắm cô Thanh,14.5,23.0,10,40
1574,Nhà hàng Vườn Phố,10.0,23.0,100,400
1636,Đặc Sản Dê Tươi Quy Nhơn - Nhà hàng Dê Vàng,11.0,23.0,100,300
1642,Bếp Nhà Xứ Nẫu,10.0,22.0,150,250
1692,Nhà Hàng Hoa Biển Kỳ Co,9.0,17.0,500,1000
1892,Cơm Mậu,9.0,21.0,99,360
1939,Mì Cay Sasin,9.0,21.5,45,379
2041,Cháo lòng bánh hỏi Tư Hạnh,6.0,10.0,20,40
2052,Mũi Tấn,0.0,23.98,0,0
2062,Tượng Đài Quang Trung,0.0,23.98,0,0
2064,Núi Vũng Chua,0.0,23.98,0,0
2067,Ghềnh Ráng Tiên Sa,9.0,17.0,10,50
2069,Mộ Hàn Mặc Tử,9.0,17.0,20,50
2077,Bãi Xếp,0.0,23.98,0,0
2078,Tuyệt tình Cốc,0.0,23.98,0,0
2092,Kỳ Co Beach,9.0,17.0,100,300
2094,Eo gió,9.0,17.0,100,300
2095,Quảng trường Quy Nhơn,0.0,23.98,10,50
2096,Chợ Đêm Quy Nhơn,17.0,22.0,50,500
2105,Tour Cù Lao Xanh - Quy Nhơn,9.0,17.0,300,600
