,2069,1006,1486,988,345,945,2092,350,2095,1692,2067,1642,2052,711,927,1574,2105,1027,502,911,2096,1939,695,1088,357,2062,173,1028,481,2041,1174,122,1461,837,840,2094,2077,1364,1208,2078,1892,468,1636,2064
2069,0,4380,4947,5491,2104,4097,24005,1152,1614,24321,0,547,4722,2891,5400,5261,4556,4503,9535,11305,2519,1950,3764,5919,1107,4429,4144,3260,9535,1574,3250,4346,4480,4175,4002,24221,3054,5246,5038,3054,568,1971,1129,3054
1006,4295,0,1579,2684,2256,699,21198,3371,2856,21514,4295,4775,1127,1660,2594,1667,297,243,6729,11254,2003,3177,2343,3113,3742,990,1275,1623,6729,3736,1612,687,100,1401,478,21414,7804,2440,2232,7804,3749,3215,4495,7804
1486,4966,1510,0,1946,2928,2090,20119,4043,3528,20435,4966,5446,2488,2206,1471,2751,1379,1326,5990,10516,2549,3593,2647,2034,4515,469,1180,2169,5990,3985,2158,2005,1340,1305,1181,20335,8108,1317,1494,8108,4421,3518,4606,8108
988,5504,2693,1943,0,3466,3273,20054,4581,4066,20369,5504,5984,3671,2744,117,3934,2562,2509,4504,9029,3087,4131,3185,1268,5053,1652,1559,2707,4504,4523,2697,3188,2523,1467,2364,20269,8646,271,514,8646,4959,4056,5144,8646
345,2299,2276,2843,3387,0,1993,21901,1376,861,22217,2299,2779,2618,788,3297,3158,2453,2399,7431,11957,416,1077,1748,3816,1746,2326,2040,1156,7431,1741,1146,2242,2376,2072,1899,22117,5287,3143,2935,5287,1754,1694,2500,5287
945,4040,658,2061,3166,2002,0,21680,3117,2602,21995,4040,4520,772,1821,3075,1311,617,670,7210,11735,1876,2923,2919,3594,3487,1588,1874,1784,7210,3482,1773,288,758,1999,1076,21895,7028,2921,2713,7028,3495,3540,4241,7028
2092,23938,21127,19876,19714,21900,21707,0,23015,22500,343,23938,24418,22105,21178,19597,22368,20996,20943,24017,28543,21521,22565,21619,19504,23487,20086,19993,21141,24017,22957,21131,21622,20957,19901,20798,322,27080,19443,19521,27080,23393,22490,23578,27080
350,1263,3257,3824,4369,981,2974,22883,0,492,23198,1263,1744,3599,1769,4278,4139,3434,3381,8413,10725,1397,909,2729,4797,562,3307,3021,2138,8413,663,2127,3224,3357,3053,2880,23098,4251,4124,3916,4251,718,999,1464,4251
2095,1438,3080,3647,4191,804,2797,22706,515,0,23021,1438,1918,3422,1592,4101,3962,3257,3204,8236,11147,1220,697,2552,4620,885,3130,2844,1960,8236,880,1950,3046,3180,2876,2703,22921,4426,3947,3739,4426,893,1006,1639,4426
1692,24254,21443,20192,20030,22216,22022,343,23331,22816,0,24254,24734,22421,21494,19912,22684,21312,21258,24333,28859,21837,22880,21934,19820,23803,20402,20308,21457,24333,23273,21446,21937,21273,20217,21113,657,27395,19758,19837,27395,23709,22806,23894,27395
2067,0,4380,4947,5491,2104,4097,24005,1152,1614,24321,0,547,4722,2891,5400,5261,4556,4503,9535,11305,2519,1950,3764,5919,1107,4429,4144,3260,9535,1574,3250,4346,4480,4175,4002,24221,3054,5246,5038,3054,568,1971,1129,3054
1642,547,4860,5427,5971,2584,4577,24485,1632,2094,24801,547,0,5202,3372,5881,5742,5037,4983,8315,11324,3000,2252,3783,6400,1409,4910,4624,3740,8315,1876,3730,4826,4960,4656,4482,24701,3535,5727,5519,3535,1048,1989,1083,3535
